imo,name,ship_type,build_year,gross_tonnage,DWT
9326055,VERONICA III,Crude Oil Tanker,2006,156933,298522
9326718,FULGER,Crude Oil Tanker,2007,81380,158784
9326720,HERA,Crude Oil Tanker,2007,81380,158843
9326902,PK PHOENIX,Chemical/Oil Products Tanker,2007,26751,45947
9327360,ARIA,Chemical/Oil Products Tanker,2006,23356,37067
9327372,OCEAN AMBER,Oil Products Tanker,2006,23337,37105
9327413,KAROL,Chemical/Oil Products Tanker,2006,23290,37497
9328170,AETHER,Crude Oil Tanker,2007,63440,113849
9328716,SKYWAVE,Crude Oil Tanker,2005,159860,302481
9329655,PROXIMA,Chemical/Oil Products Tanker,2008,25467,40149
9329667,PACIFIC,Chemical/Oil Products Tanker,2008,25467,40119
9329760,EAGLES,Crude Oil Tanker,2006,42010,74035
9330020,SKYLIGHT,Chemical/Oil Products Tanker,2006,7687,11262
9330472,THORIN,Crude Oil Tanker,2007,55909,105374
9330599,LUMIN,Crude Oil Tanker,2006,58088,104866
9330604,NACHOS,Crude Oil Tanker,2007,58442,104611
9331141,KELLY GRACE,Crude Oil Tanker,2006,61348,114858
9331153,DELVINA,Crude Oil Tanker,2007,61348,114795
9332028,NIBLO,Chemical/Oil Products Tanker,2007,29278,47128
9332315,MISHELL,Chemical/Oil Products Tanker,2008,29266,49999
9332535,SEA V,Crude Oil Tanker,2007,160782,317788
9332781,AQUA TITAN,Crude Oil Tanker,2006,59158,115536
9332810,PUSHPA,Crude Oil Tanker,2007,59164,115577
9332822,NICHOLE,Crude Oil Tanker,2007,59164,115577
9332834,MYSTERY,Crude Oil Tanker,2007,59164,115577
9333400,NOBLE,Oil Products Tanker,2006,29902,47125
9333412,ENIGMA,Oil Products Tanker,2007,29844,47187
9333424,PHOENIX,Oil Products Tanker,2007,29844,47218
9333436,SUCCESS,Oil Products Tanker,2007,29844,47095
9333670,MIKHAIL ULYANOV,Crude Oil Tanker,2010,49866,69830
9333682,KIRILL LAVROV,Crude Oil Tanker,2010,49866,70053
9334557,BLUE TALU,Oil Products Tanker,2007,40865,73919
9335094,VARG,Chemical/Oil Products Tanker,2006,29490,46891
9336426,SELVA,Crude Oil Tanker,2007,57657,105827
9336490,MYRA,Oil Products Tanker,2006,41021,74999
9337133,IVY,Crude Oil Tanker,2007,157245,300325
9337195,SIREN II,Crude Oil Tanker,2008,156987,298078
9337327,WEST HORIZON,Chemical/Oil Products Tanker,2006,30105,50548
9337389,AGNI,Crude Oil Tanker,2007,56172,105641
9337901,RIMMA,Crude Oil Tanker,2006,59671,110802
9338905,PATE,Crude Oil Tanker,2007,61473,115754
9339301,LIPETSK,Crude Oil Tanker,2007,61449,115857
9339313,LADOGA,Crude Oil Tanker,2007,61449,115831
9339325,LEVEL,Crude Oil Tanker,2007,61449,115831
9339337,LEGACY,Crude Oil Tanker,2008,61449,115849
9340465,BIA,Chemical/Oil Products Tanker,2006,11587,19966
9341067,DF PEAK,Crude Oil Tanker,2006,57248,110119
9341079,CAMEL,Crude Oil Tanker,2006,57248,110066
