IMO,Name of ship,Gross tonnage,Type of ship,Vessel Size,Year of build,Controller,Flag,Class,Last Survey,Russian lifter,Iran Linked?,Re Classed in 2022,Transacted in 2022,Suspicious
9299410,TROMPETEROS I,25507,Chemical/Oil Products Tanker,MR,2004,NAVIERA TRANSOCEANICA,Peru (PER),LRS,23/8/2019,, , ,,
9290385,EUROLEADER,81076,Crude Oil Tanker,Suezmax,2005,Eurotankers,Liberia (LBR),BV,15/9/2020,YES, , ,,
9255842,NAFTILOS AN,25561,Chemical/Oil Products Tanker,MR,2003,Ancora Investment,Malta (MLT),NV,1/9/2018,, , ,,
9255830,SEA MARINE 1,25561,Oil Products Tanker,MR,2003,VITACO,Vietnam (VNM),NV,10/5/2018,, , ,,
9323792,ALICE,25651,Chemical/Oil Products Tanker,MR,2007,Eni,Italy (ITA),RINA,16/11/2016,, , ,,
9246786,FAVOLA,25651,Chemical/Oil Products Tanker,MR,2002,Maersk Tankers,Liberia (LBR),RINA,30/8/2017,, , ,,
9259927,GREEN TRADER,25651,Chemical/Oil Products Tanker,MR,2003,Eni,Marshall Islands (MHL),RINA,18/10/2018,, , ,,
9231183,YASH,25651,Chemical/Oil Products Tanker,MR,2002,Eni,Liberia (LBR),RINA,27/4/2017,, , ,,
9231171,ZAGARA,25651,Chemical/Oil Products Tanker,MR,2002,Maersk Tankers,Liberia (LBR),RINA,1/4/2017,, , ,,
9323807,SC GOLD OCEAN,25667,Chemical/Oil Products Tanker,MR,2007,WIRANA,Marshall Islands (MHL),KR,6/12/2016,, , ,,
9389497,HANS MAERSK,25709,Chemical/Oil Products Tanker,MR,2009,Maersk Tankers,Singapore (SGP),ABS,15/10/2019,, , ,,
9389526,HENNING MAERSK,25710,Chemical/Oil Products Tanker,MR,2010,Maersk Tankers,Denmark (DIS) (DIS),ABS,14/9/2020,, , ,,
9389514,HELENE MAERSK,25722,Chemical/Oil Products Tanker,MR,2010,Maersk Tankers,Singapore (SGP),ABS,21/8/2020,, , ,,
9399349,HENRIETTE MAERSK,25723,Chemical/Oil Products Tanker,MR,2010,Maersk Tankers,Singapore (SGP),ABS,14/8/2020,, , ,,
9399351,HENRY MAERSK,25723,Chemical/Oil Products Tanker,MR,2010,Maersk Tankers,Denmark (DIS) (DIS),ABS,9/12/2020,, , ,,
9399363,HULDA MAERSK,25723,Chemical/Oil Products Tanker,MR,2010,Maersk Tankers,Denmark (DIS) (DIS),ABS,8/12/2020,, , ,,
9357559,HISTRIA AGATA,25804,Chemical/Oil Products Tanker,MR,2007,Histria Shipmanagement,Malta (MLT),NV,22/12/2016,, , ,,
9301299,HISTRIA CORAL,25804,Chemical/Oil Products Tanker,MR,2006,Histria Shipmanagement,Malta (MLT),RINA,15/4/2021,, , ,,
9396323,HISTRIA GIADA,25804,Chemical/Oil Products Tanker,MR,2007,Histria Shipmanagement,Malta (MLT),NV,30/8/2017,, , ,,
9356244,HISTRIA IVORY,25804,Chemical/Oil Products Tanker,MR,2006,Total,Malta (MLT),NV,3/10/2016,, , ,,
9301287,HISTRIA PERLA,25804,Chemical/Oil Products Tanker,MR,2005,Histria Shipmanagement,Malta (MLT),NV,26/1/2021,, , ,,
9396373,AMIF,25864,Chemical/Oil Products Tanker,MR,2008,Sea Transport Services Nigeria,Liberia (LBR),ABS,4/5/2018,, , ,,
9436680,COSTANZA M,25864,Chemical/Oil Products Tanker,MR,2009,CEPSA,Italy (ITA),RINA,28/3/2019,, , ,,
9607629,HISTRIA CROWN,25864,Chemical/Oil Products Tanker,MR,2012,Histria Shipmanagement,Liberia (LBR),NV,4/5/2017,, , ,,
9436719,HISTRIA GEMMA,25864,Chemical/Oil Products Tanker,MR,2010,Histria Shipmanagement,Liberia (LBR),NV,12/11/2019,, , ,,
9396335,HISTRIA TIGER,25864,Chemical/Oil Products Tanker,MR,2008,Histria Shipmanagement,Liberia (LBR),NV,31/8/2018,, , ,,
9436678,ICHESIA M,25864,Chemical/Oil Products Tanker,MR,2009,Repsol,Italy (ITA),ABS,4/6/2019,, , ,,
9396385,LEON ZEUS,25864,Chemical/Oil Products Tanker,MR,2008,Exxonmobil,Panama (PAN),LRS,11/10/2018,, , ,,
9394040,NORIENT SATURN,25864,Chemical/Oil Products Tanker,MR,2007,NORDEN,Liberia (LBR),ABS,30/11/2022,, , ,,
9414084,STOLT BRELAND,25881,Chemical/Oil Products Tanker,MR,2010,Stolt Tankers,Cayman Islands (CYM),NV,5/2/2020,, , ,,
9352200,STOLT SAGALAND,25884,Chemical/Oil Products Tanker,MR,2008,Stolt Tankers,Cayman Islands (CYM),NV,8/12/2017,, , ,,
9352212,STOLT SNELAND,25884,Chemical/Oil Products Tanker,MR,2008,Stolt Tankers,Cayman Islands (CYM),NV,19/9/2018,, , ,,
9436707,ALLEGRA,25890,Chemical/Oil Products Tanker,MR,2009,Motia Navigazione,Italy (ITA),ABS,1/10/2019,, , ,,
9451733,NINA,25890,Chemical/Oil Products Tanker,MR,2010,LITASCO,Italy (ITA),ABS,3/11/2020,, , ,,
9436692,LISCA NERA M,25892,Chemical/Oil Products Tanker,MR,2009,Saras,Italy (ITA),RINA,25/6/2019,, , ,,
9414060,STOLT NORLAND,25895,Chemical/Oil Products Tanker,MR,2009,Stolt Tankers,Cayman Islands (CYM),NV,2/7/2019,, , ,,
9351529,RINELLA M,25896,Chemical/Oil Products Tanker,MR,2006,LITASCO,Italy (ITA),RINA,28/4/2016,, , ,,YES
9607643,ZEFIREA,25923,Chemical/Oil Products Tanker,MR,2012,CALISA,Italy (ITA),RINA,18/11/2017,, , ,,
