IMO,Name of ship,Gross tonnage,Type of ship,Vessel Size,Year of build,Controller,Flag,Class,Last Survey,Russian lifter,Iran Linked?,Re Classed in 2022,Transacted in 2022,Suspicious
9463358,OCEAN INTEGRITY,10459,Chemical/Oil Products Tanker,Small Tanker,2008,UNKNOWN,Panama (PAN),CCS,27/1/2018,, , ,,
9341328,ATLANTIC TWIN,10549,Chemical/Oil Products Tanker,Small Tanker,2008,Peters Carl F. & Co.,Gibraltar (GIB),NV,19/10/2018,, , ,,
9341316,ATLANTIC WIND,10549,Chemical/Oil Products Tanker,Small Tanker,2007,Peters Carl F. & Co.,Gibraltar (GIB),NV,28/5/2016,, , ,,
9341354,RAYANA,10549,Chemical/Oil Products Tanker,Small Tanker,2009,UNKNOWN,St.Kitts and Nevis (KNA),NV,25/11/2021,, , ,,
9341366,SPLENDOUR OPAL,10549,Chemical/Oil Products Tanker,Small Tanker,2010,UNKNOWN,Panama (PAN),RINA,2/12/2020,, , ,,
9341330,SUPER HERO,10549,Chemical/Oil Products Tanker,Small Tanker,2009,PAN OCEAN,Panama (PAN),KR,28/5/2019,, , ,,
9341342,SUPER INFINITY,10549,Chemical/Oil Products Tanker,Small Tanker,2009,PAN OCEAN,Panama (PAN),KR,1/8/2019,, , ,,
9246152,XANTHIA,10578,Chemical/Oil Products Tanker,Small Tanker,2003,Neda Maritime,Norway (NIS) (NIS),NV,19/3/2018,, , ,,
9955193,JIU LI 669,10743,Chemical/Oil Products Tanker,Small Tanker,2022,UNKNOWN,China Peoples's Republic (CHN),CCS,23/12/2022,, , ,,
9769647,GLOBAL APOLLON,10754,Chemical/Oil Products Tanker,Small Tanker,2015,Global Marine Service,Panama (PAN),NKK,4/9/2020,, , ,,
9803998,GLOBAL NEPTUNE,10754,Chemical/Oil Products Tanker,Small Tanker,2016,Global Marine Service,Panama (PAN),NKK,24/10/2016,, , ,,
9810850,GLOBAL THEMIS,10754,Chemical/Oil Products Tanker,Small Tanker,2017,Global Marine Service,Panama (PAN),NKK,9/6/2017,, , ,,
9463528,GLORY STAR,10797,Oil Products Tanker,Small Tanker,2007,Khai Hoan Marine,Vietnam (VNM),BV,20/8/2017,, , ,,
9328974,FIONIA SWAN,10810,Chemical/Oil Products Tanker,Small Tanker,2005,Gothia Tanker Alliance,Denmark (DIS) (DIS),ABS,29/11/2020,, , ,,
9334428,SEA BAZOU 2,10811,Chemical/Oil Products Tanker,Small Tanker,2006,UNKNOWN,Marshall Islands (MHL),BV,22/4/2016,, , ,,
9291597,YM JUPITER,10917,Chemical/Oil Products Tanker,Small Tanker,2007,UNKNOWN,Malta (MLT),BV,27/6/2016,, , ,,
9362138,YM SATURN,10917,Chemical/Oil Products Tanker,Small Tanker,2007,UNKNOWN,Malta (MLT),BV,30/3/2017,, , ,,
9837559,GLOBAL EOS,10945,Chemical/Oil Products Tanker,Small Tanker,2018,Global Marine Service,Panama (PAN),NKK,6/6/2018,, , ,,
9833436,GLOBAL JUPITER,10945,Chemical/Oil Products Tanker,Small Tanker,2018,Global Marine Service,Panama (PAN),NKK,19/1/2018,, , ,,
9330434,TULIP,10955,Chemical/Oil Products Tanker,Small Tanker,2007,National Shipping SA,Malta (MLT),BV,7/2/2021,, , ,,
9607526,YU RU,10996,Chemical/Oil Products Tanker,Small Tanker,2011,Maple Leaf Shipping,"Hong Kong, China (HKG)",CCS,1/7/2016,, , ,,
9611113,DONG FANG YOU 11,11051,Oil Products Tanker,Small Tanker,2011,UNKNOWN,China Peoples's Republic (CHN),CCS,8/7/2016,, , ,,
9446257,CHEMITEC,11103,Chemical/Oil Products Tanker,Small Tanker,2008,Adani Shipping,"Hong Kong, China (HKG)",CCS,9/7/2018,, , ,,
9262259,DUKE,11118,Chemical/Oil Products Tanker,Small Tanker,2003,PSTV ENERGY,Marshall Islands (MHL),BV,22/2/2018,, , ,,
9231602,LEVANTO,11118,Oil Products Tanker,Small Tanker,2002,Unibros Shipping,Nigeria (NGA),BV,24/7/2017,, , ,,
9310305,SAMBA,11118,Chemical/Oil Products Tanker,Small Tanker,2005,Spring Marine,Panama (PAN),BV,9/3/2020,, , ,,
9384162,NQ MAGNOLIA,11186,Chemical/Oil Products Tanker,Small Tanker,2007,De Poli Shipmanagement,Malta (MLT),RINA,17/8/2017,, , ,,
9261516,GIOVANNI DP,11191,Chemical/Oil Products Tanker,Small Tanker,2003,De Poli Shipmanagement,Malta (MLT),RINA,29/4/2018,, , ,,
9291066,HAI XING,11191,Chemical/Oil Products Tanker,Small Tanker,2004,UNKNOWN,Liberia (LBR),BV,5/7/2019,, , ,,
9243382,NQ MORINA,11191,Chemical/Oil Products Tanker,Small Tanker,2002,De Poli Shipmanagement,Malta (MLT),RINA,31/5/2017,, , ,,
9431044,BESIKTAS ZEALAND,11229,Chemical/Oil Products Tanker,Small Tanker,2009,Besiktas,Malta (MLT),BV,17/4/2019,, , ,,
9394519,EMMY SCHULTE,11233,Chemical/Oil Products Tanker,Small Tanker,2009,Shell,Isle of Man (IMN),ABS,15/4/2019,, , ,,
9439814,ERIN SCHULTE,11233,Chemical/Oil Products Tanker,Small Tanker,2009,Brostrom,Isle of Man (IMN),ABS,28/10/2019,, , ,,
9439826,EVA SCHULTE,11233,Chemical/Oil Products Tanker,Small Tanker,2010,Brostrom,Singapore (SGP),ABS,13/3/2020,, , ,,
9385049,SULAWESI PALM,11243,Chemical/Oil Products Tanker,Small Tanker,2008,PACIFIC CARRIERS LIMITED,Indonesia (IDN),ABS,3/4/2018,, , ,,
9439852,EDZARD SCHULTE,11246,Chemical/Oil Products Tanker,Small Tanker,2011,Bernhard Schulte Shipmanagement (Cyprus) Ltd,Isle of Man (IMN),ABS,5/3/2021,, , ,,
9439840,ELISABETH SCHULTE,11246,Chemical/Oil Products Tanker,Small Tanker,2010,Brostrom,Isle of Man (IMN),ABS,10/11/2020,, , ,,
9466752,SIDRA DOHA,11246,Chemical/Oil Products Tanker,Small Tanker,2011,UNKNOWN,Liberia (LBR),ABS,22/8/2016,, , ,,
9403932,JAVA PALM,11248,Chemical/Oil Products Tanker,Small Tanker,2009,PACIFIC CARRIERS LIMITED,Indonesia (IDN),ABS,19/5/2019,, , ,,
9371036,KALIMANTAN PALM,11248,Chemical/Oil Products Tanker,Small Tanker,2008,PACIFIC CARRIERS LIMITED,Indonesia (IDN),ABS,3/7/2018,, , ,,
9403944,RED DYNASTY,11248,Chemical/Oil Products Tanker,Small Tanker,2008,Global Maritim Industri,Indonesia (IDN),ABS,17/1/2017,, , ,,
9408047,SUMATRA PALM,11248,Chemical/Oil Products Tanker,Small Tanker,2008,PACIFIC CARRIERS LIMITED,Indonesia (IDN),ABS,7/5/2018,, , ,,
9385051,SUPER EMPEROR,11248,Chemical/Oil Products Tanker,Small Tanker,2008,Waruna Nusa Sentana,Indonesia (IDN),ABS,2/8/2018,, , ,,
9502441,FERNI H,11253,Chemical/Oil Products Tanker,Small Tanker,2009,UNKNOWN,Liberia (LBR),LRS,16/1/2020,, , ,,
9643934,HONG HAI 6,11253,Chemical/Oil Products Tanker,Small Tanker,2012,Unknown Chinese,"Hong Kong, China (HKG)",BV,26/6/2017,, , ,,
9635987,LING YU,11253,Chemical/Oil Products Tanker,Small Tanker,2014,UNKNOWN,China Peoples's Republic (CHN),CCS,24/9/2019,, ,YES,,YES
9502453,MARIA CRISTINA,11253,Chemical/Oil Products Tanker,Small Tanker,2010,CAROIL TRANSPORT MARINE,Cuba (CUB),#N/A,#N/A,, , ,,
9502439,SAN SAN H,11253,Chemical/Oil Products Tanker,Small Tanker,2010,Horamar,Liberia (LBR),LRS,13/4/2020,, , ,,
9348508,THERESA ARIES,11254,Chemical/Oil Products Tanker,Small Tanker,2006,Raffles Shipmanagement,Indonesia (IDN),BV,2/8/2016,, , ,,
9348534,THERESA LEO,11254,Chemical/Oil Products Tanker,Small Tanker,2007,Raffles Shipmanagement,Singapore (SGP),BV,2/7/2017,, , ,,
9440667,WINNER,11254,Chemical/Oil Products Tanker,Small Tanker,2008,Glory Ship Management,Singapore (SGP),LRS,23/6/2018,, , ,,
9348522,GOLDEN CURL,11254,Chemical Tanker,Small Tanker,2007,UNKNOWN,Panama (PAN),BV,23/4/2018,, , ,,
9348510,THERESA LIBRA,11254,Chemical Tanker,Small Tanker,2007,WILMAR,Singapore (SGP),BV,18/11/2017,, , ,,
9568158,FENG HAI 10,11255,Chemical/Oil Products Tanker,Small Tanker,2010,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9590553,XIN AO TAI 1,11258,Chemical/Oil Products Tanker,Small Tanker,2010,UNKNOWN,China Peoples's Republic (CHN),CCS,12/6/2020,, , ,,
9460540,AS SOVEREIGN,11259,Chemical/Oil Products Tanker,Small Tanker,2009,UNKNOWN,Korea (Republic of) (KOR),KR,23/7/2019,, , ,,
9460502,BROMLEY,11259,Chemical/Oil Products Tanker,Small Tanker,2008,UNION MARITIME,Liberia (LBR),BV,1/12/2022,, , ,,
9473937,JC BAZAN,11259,Chemical/Oil Products Tanker,Small Tanker,2009,National Shipping SA,Argentina (ARG),ABS,5/7/2019,, , ,,
9421269,BTS FABULOUS,11261,Chemical/Oil Products Tanker,Small Tanker,2008,BTS Tankers,Singapore (SGP),KR,17/11/2018,, , ,,
9421271,GS FORWARD,11261,Chemical/Oil Products Tanker,Small Tanker,2008,UNKNOWN,Singapore (SGP),KR,4/4/2019,, , ,,
9421283,GS FUTURE,11261,Chemical/Oil Products Tanker,Small Tanker,2009,UNKNOWN,Singapore (SGP),KR,13/6/2019,, , ,,
9419670,PIS PATRIOT,11261,Chemical/Oil Products Tanker,Small Tanker,2008,UNKNOWN,Indonesia (IDN),KR,26/10/2018,, , ,,
9421300,PUNTA PIRAMIDES,11261,Chemical/Oil Products Tanker,Small Tanker,2009,ULTRATANK,Argentina (ARG),LRS,15/5/2019,, , ,,
9421295,VESTHOLMEN,11261,Chemical/Oil Products Tanker,Small Tanker,2009,Shell,Marshall Islands (MHL),BV,20/4/2019,, , ,,
9439838,EVERHARD SCHULTE,11267,Chemical/Oil Products Tanker,Small Tanker,2010,Shell,Singapore (SGP),ABS,18/10/2020,, , ,,
9475399,BONITO,11271,Chemical/Oil Products Tanker,Small Tanker,2012,Alison Management Corp,Liberia (LBR),BV,11/6/2017,, , ,,
9475428,ENFORD,11271,Chemical/Oil Products Tanker,Small Tanker,2012,UNION MARITIME,Marshall Islands (MHL),BV,15/4/2017,, , ,,
9382487,GREAT LADY,11271,Chemical/Oil Products Tanker,Small Tanker,2009,Waruna Nusa Sentana,Indonesia (IDN),BV,25/5/2021,, , ,,
9475387,KEI,11271,Oil Products Tanker,Small Tanker,2011,Nordic Tankers,Indonesia (IDN),NV,10/5/2017,, , ,,
9475430,KENRICK,11271,Chemical/Oil Products Tanker,Small Tanker,2012,Shell,Marshall Islands (MHL),BV,5/5/2017,, , ,,
9382504,KOWIE,11271,Chemical/Oil Products Tanker,Small Tanker,2010,Nidas,Nigeria (NGA),BV,29/7/2021,, , ,,
9382499,TM HAI HA 818,11271,Chemical/Oil Products Tanker,Small Tanker,2011,UNKNOWN,Vietnam (VNM),NV,6/8/2016,, , ,,
9192375,LAGUNA D,11287,Chemical/Oil Products Tanker,Small Tanker,2000,De Poli Shipmanagement,Malta (MLT),RINA,22/3/2020,, , ,,
9380324,AL SAMHA,11290,Chemical/Oil Products Tanker,Small Tanker,2010,ADNOC,United Arab Emirates (ARE),LRS,9/2/2020,, , ,,
9498119,ANA NZINGA,11290,Chemical/Oil Products Tanker,Small Tanker,2009,Trafigura,Marshall Islands (MHL),BV,22/11/2019,, , ,,
9512123,BTS CALYPSO,11290,Chemical/Oil Products Tanker,Small Tanker,2010,BTS Tankers,Singapore (SGP),ABS,6/12/2019,, , ,,
9512111,BTS CAPELLA,11290,Chemical/Oil Products Tanker,Small Tanker,2010,BTS Tankers,Singapore (SGP),ABS,3/12/2019,, , ,,
9541289,CHINA SPIRIT,11290,Chemical/Oil Products Tanker,Small Tanker,2009,Alison Management Corp,Liberia (LBR),BV,3/11/2019,, , ,,
9498121,POLARIS,11290,Chemical/Oil Products Tanker,Small Tanker,2009,UNKNOWN,Korea (Republic of) (KOR),KR,23/7/2019,, , ,,
9498107,TINERFE,11291,Chemical/Oil Products Tanker,Small Tanker,2009,Petrogas,Portugal (MAR) (PMD),LRS,4/12/2019,, , ,,
9466740,HELIOS,11311,Chemical/Oil Products Tanker,Small Tanker,2011,National Shipping SA,Marshall Islands (MHL),ABS,10/6/2016,, , ,,
9466714,SLOMAN HERA,11311,Chemical/Oil Products Tanker,Small Tanker,2012,Brostrom,Antigua and Barbuda (ATG),ABS,25/6/2017,, , ,,
9288746,MARATHON,57296,Crude Oil Tanker,Aframax,2005,GATIK SHIPMANAGEMENT,St.Kitts and Nevis (KNA),LRS,5/10/2019,YES, , ,YES,YES
9466726,SLOMAN HERAKLES,11311,Chemical/Oil Products Tanker,Small Tanker,2012,Brostrom,Antigua and Barbuda (ATG),NV,26/5/2017,, , ,,
9288734,SEABRAVERY,57296,Crude Oil Tanker,Aframax,2005,THENAMARIS,Malta (MLT),LRS,29/10/2019,, , ,,
9229350,AQUARIUS V,57301,Crude Oil Tanker,Aframax,2002,THENAMARIS,Panama (PAN),LRS,24/4/2017,YES, , ,,
9255672,ISABELLA,57301,Crude Oil Tanker,Aframax,2004,THENAMARIS,Malta (MLT),LRS,10/11/2018,, , ,,
9466738,SLOMAN HERMES,11311,Chemical/Oil Products Tanker,Small Tanker,2012,Brostrom,Malta (MLT),ABS,22/5/2017,, , ,,
9809784,SLOMAN HEBE,11316,Chemical/Oil Products Tanker,Small Tanker,2019,Brostrom,Antigua and Barbuda (ATG),NV,16/10/2019,, , ,,
9776133,SLOMAN HESTIA,11316,Chemical/Oil Products Tanker,Small Tanker,2017,Brostrom,Antigua and Barbuda (ATG),NV,12/7/2017,, , ,,
9512135,SEA CRYSTAL,11317,Chemical/Oil Products Tanker,Small Tanker,2010,UNKNOWN,Panama (PAN),KR,7/4/2020,, , ,,
9230012,T RISHA,11320,Chemical/Oil Products Tanker,Small Tanker,2001,UNKNOWN,Liberia (LBR),LRS,13/7/2016,, , ,,
9255684,MINERVA ZOE,57301,Crude Oil Tanker,Aframax,2004,Minerva Marine,Liberia (LBR),LRS,2/6/2019,, , ,,
9229362,ROAD,57301,Crude Oil Tanker,Aframax,2002,PERIDOT SHIP MANAGEMENT,Barbados (BRB),LRS,12/6/2017,,YES, ,,YES
9255660,SEASCOUT,57301,Crude Oil Tanker,Aframax,2004,THENAMARIS,Malta (MLT),LRS,2/12/2018,, , ,,
9696773,ALFA BALTICA,57312,Crude Oil Tanker,Aframax,2015,Lundqvist Rederierna,Bahamas (BHS),LRS,29/1/2020,, , ,,
9696761,ESTRELLA,57312,Crude Oil Tanker,Aframax,2014,Lundqvist Rederierna,Bahamas (BHS),LRS,4/10/2019,, , ,,
9261619,SEA LUCK III,57314,Crude Oil Tanker,Aframax,2003,Eastern Mediterranean Maritime Ltd,Malta (MLT),LRS,8/9/2018,, , ,,
9247833,SEABORNE PETRO,57315,Crude Oil Tanker,Aframax,2003,Waruna Nusa Sentana,Indonesia (IDN),NV,12/2/2018,, , ,,
9312846,DONEGAL SPIRIT,57325,Crude Oil Tanker,Aframax,2006,TEEKAY,Bahamas (BHS),NV,10/9/2016,, , ,,
9374325,BERG,11321,Oil Products Tanker,Small Tanker,2008,Waruna Nusa Sentana,Indonesia (IDN),NV,8/8/2018,, , ,,
9439876,ELISALEX SCHULTE,11325,Chemical/Oil Products Tanker,Small Tanker,2011,Shell,Singapore (SGP),ABS,19/10/2016,, , ,,
9439864,ERIKA SCHULTE,11325,Chemical/Oil Products Tanker,Small Tanker,2011,Brostrom,Singapore (SGP),ABS,4/12/2015,, , ,,
9582594,FENG HAI 11,11326,Chemical/Oil Products Tanker,Small Tanker,2010,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9312858,GALWAY SPIRIT,57325,Crude Oil Tanker,Aframax,2007,TEEKAY,Bahamas (BHS),NV,2/12/2016,, , ,,
9312872,HUIHAI ATLANTIC,57325,Crude Oil Tanker,Aframax,2007,Unknown Chinese,Panama (PAN),NV,15/7/2017,, , ,YES,YES
9959644,CHENG LANG 166,11340,Oil Products Tanker,Small Tanker,2021,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9936094,FENG PEI 161,11340,Oil Products Tanker,Small Tanker,2021,UNKNOWN,China Peoples's Republic (CHN),#N/A,#N/A,, , ,,
9508990,PUNTA MEDANOS,11342,Chemical/Oil Products Tanker,Small Tanker,2011,ULTRATANK,Argentina (ARG),LRS,28/12/2020,, , ,,
9312860,LIMERICK SPIRIT,57325,Crude Oil Tanker,Aframax,2007,TEEKAY,Bahamas (BHS),NV,9/11/2016,, , ,,
9313113,ALJAZIAH,11344,Chemical/Oil Products Tanker,Small Tanker,2006,UNKNOWN,Panama (PAN),ABS,5/10/2016,, , ,,
9313125,BRO DEVELOPER,11344,Chemical/Oil Products Tanker,Small Tanker,2007,Maersk Tankers,Denmark (DIS) (DIS),ABS,25/11/2016,, , ,,
9403475,NORDSYMPHONY,57458,Crude Oil Tanker,Aframax,2008,N2 Tankers,Portugal (MAR) (PMD),LRS,10/5/2022,, , ,,
9384992,SOUSTA,57462,Crude Oil Tanker,Aframax,2007,Spring Marine,Marshall Islands (MHL),NKK,1/7/2017,, , ,,
9237618,GULF KNOT,57508,Crude Oil Tanker,Aframax,2003,UNKNOWN,Panama (PAN),RINA,27/9/2021,,YES, ,,YES
9313096,HAMMERHEAD,11344,Chemical/Oil Products Tanker,Small Tanker,2006,PSTV ENERGY,Marshall Islands (MHL),ABS,20/3/2016,, , ,,
9313101,SRIWANGI,11344,Chemical/Oil Products Tanker,Small Tanker,2006,Bernhard Schulte Shipmanagement (Cyprus) Ltd,Singapore (SGP),ABS,18/5/2016,, , ,,
9508988,PUNTA LOYOLA,11348,Chemical/Oil Products Tanker,Small Tanker,2010,ULTRATANK,Argentina (ARG),LRS,23/4/2020,, , ,,
9233234,SIMBA,57508,Crude Oil Tanker,Aframax,2002,VANGUARD MARINE VENTURES,Gabon (GAB),IRS,11/7/2017,YES,YES, ,,YES
9390599,JAG LOKESH,57510,Crude Oil Tanker,Aframax,2009,Trafigura,India (IND),ABS,14/5/2019,, , ,,
9247821,BALSA,57529,Crude Oil Tanker,Aframax,2002,ASIA CHARM LTD,Panama (PAN),CRS,18/12/2022,, , ,YES,
9247780,AFRA HAWTHORN,57567,Crude Oil Tanker,Aframax,2003,PETROCHINA,Liberia (LBR),RINA,18/10/2017,, , ,,
9251810,AFRA LAUREL,57567,Crude Oil Tanker,Aframax,2002,Hellenic Tankers,Liberia (LBR),RINA,4/8/2017,, , ,,
9247792,OAKA,57567,Crude Oil Tanker,Aframax,2003,GENERAL SA,Liberia (LBR),RINA,21/12/2018,, , ,,
9377195,ARDENZA,11350,Chemical/Oil Products Tanker,Small Tanker,2009,Eni,Italy (ITA),RINA,21/3/2019,, , ,,
9377200,DIVINA,11350,Chemical/Oil Products Tanker,Small Tanker,2009,Eni,Italy (ITA),RINA,2/6/2019,, , ,,
9043093,BOMAR LYNX,11365,Chemical/Oil Products Tanker,Small Tanker,2003,UNKNOWN,Liberia (LBR),NV,26/7/2018,, , ,,
9268423,LADY YOUMNA,11377,Chemical/Oil Products Tanker,Small Tanker,2003,UNKNOWN,Liberia (LBR),BV,7/6/2018,, , ,,
9182796,OCEAN AGLAIA,11377,Chemical/Oil Products Tanker,Small Tanker,2002,UNKNOWN,Panama (PAN),LRS,15/4/2017,, , ,,
9263382,PETRA,11377,Chemical/Oil Products Tanker,Small Tanker,2003,UNKNOWN,Gabon (GAB),BV,29/11/2017,, , ,,
9576820,BALTIC PROSPERITY,11383,Chemical/Oil Products Tanker,Small Tanker,2012,Alison Management Corp,Liberia (LBR),ABS,24/7/2017,, , ,,
9576818,FALCONS,11383,Chemical/Oil Products Tanker,Small Tanker,2012,Seven Islands,India (IND),BV,25/6/2021,, , ,,
9576832,TZ GLORY,11386,Chemical/Oil Products Tanker,Small Tanker,2022,UNKNOWN,Liberia (LBR),ABS,17/10/2022,, , ,,
9367372,ERICUSA M,11393,Chemical/Oil Products Tanker,Small Tanker,2009,Augusta Due,Italy (ITA),BV,21/3/2019,, , ,,
9447328,SONGA ATLANTIC,11393,Chemical/Oil Products Tanker,Small Tanker,2010,UNKNOWN,Malta (MLT),BV,8/5/2020,, , ,,
9447330,FT QUARTO,11411,Chemical/Oil Products Tanker,Small Tanker,2011,Exxonmobil,Malta (MLT),BV,4/1/2017,, , ,,
9508976,PUNTA QUILLA,11412,Chemical/Oil Products Tanker,Small Tanker,2009,ULTRATANK,Argentina (ARG),LRS,16/9/2019,, , ,,
9509009,SUMMER PALACE,11431,Oil Products Tanker,Small Tanker,2011,Waruna Nusa Sentana,Indonesia (IDN),RINA,6/12/2017,, , ,,
9495856,BINTANG SAMUDRA T,11438,Oil Products Tanker,Small Tanker,2010,SOECHI GROUP,Indonesia (IDN),RINA,22/10/2020,, , ,,
9469455,EMANTHA,11438,Chemical/Oil Products Tanker,Small Tanker,2010,NNPC,Panama (PAN),BV,30/7/2020,, , ,,
9251822,WILLOWY,57567,Crude Oil Tanker,Aframax,2003,JUNIOR MARINE SA,Liberia (LBR),RINA,27/5/2018,, , ,,
9407031,EONIA,11438,Oil Products Tanker,Small Tanker,2008,Shell,Singapore (SGP),ABS,24/1/2019,, , ,,
9500132,ARIANA,11440,Chemical/Oil Products Tanker,Small Tanker,2016,UNKNOWN,Panama (PAN),RINA,11/8/2021,, , ,,
9500144,YONGKANG OCEAN,11440,Chemical/Oil Products Tanker,Small Tanker,2020,UNKNOWN,Panama (PAN),BV,7/4/2020,, , ,,
9909651,TERN FORS,11445,Chemical/Oil Products Tanker,Small Tanker,2022,Terntank,Denmark (DIS) (DIS),BV,25/2/2022,, , ,,
9909649,TERN ISLAND,11445,Chemical/Oil Products Tanker,Small Tanker,2021,Terntank,Denmark (DIS) (DIS),BV,15/12/2021,, , ,,
9591789,MING XIANG,11453,Oil Products Tanker,Small Tanker,2010,Yongxiu County Shipping,China Peoples's Republic (CHN),CCS,20/4/2020,, , ,,
9313486,ARK,57657,Crude Oil Tanker,Aframax,2008,IMS,Liberia (LBR),BV,11/3/2021,, , ,,
9747986,TERN OCEAN,11463,Chemical/Oil Products Tanker,Small Tanker,2017,Preem,Denmark (DIS) (DIS),BV,15/3/2017,, , ,,
9747974,TERN SEA,11463,Chemical/Oil Products Tanker,Small Tanker,2016,UNKNOWN,Denmark (DIS) (DIS),BV,15/11/2016,, , ,,
9336414,FREEDOM,57657,Crude Oil Tanker,Aframax,2007,ASIA ENERGY SHIPPING JSC,Vietnam (VNM),NV,2/7/2017,, , ,,
9722405,TERNFJORD,11463,Chemical/Oil Products Tanker,Small Tanker,2016,UNKNOWN,Denmark (DIS) (DIS),BV,12/9/2016,, , ,,
9722390,TERNSUND,11463,Chemical/Oil Products Tanker,Small Tanker,2016,UNKNOWN,Denmark (DIS) (DIS),BV,27/6/2016,, , ,,
9336402,GRIMSTAD,57657,Crude Oil Tanker,Aframax,2007,POLYAR TANKERS,Bahamas (BHS),NV,23/6/2017,, , ,,
9460459,SONGA DIAMOND,11472,Chemical/Oil Products Tanker,Small Tanker,2009,Brostrom,Marshall Islands (MHL),KR,26/4/2019,, , ,,
9473913,SONGA OPAL,11472,Chemical/Oil Products Tanker,Small Tanker,2009,Brostrom,Marshall Islands (MHL),KR,31/5/2019,, , ,,
9336397,LILLESAND,57657,Crude Oil Tanker,Aframax,2007,POLYAR TANKERS,Bahamas (BHS),NV,16/4/2017,, , ,,
9336426,NAXOS,57657,Crude Oil Tanker,Aframax,2007,GATIK SHIPMANAGEMENT,St.Kitts and Nevis (KNA),NV,12/10/2017,YES, , ,YES,YES
9313498,NEMO,57657,Crude Oil Tanker,Aframax,2008,IMS,Liberia (LBR),BV,24/3/2021,, , ,,
9444479,SONGA RUBY,11472,Chemical/Oil Products Tanker,Small Tanker,2008,UNKNOWN,Malta (MLT),KR,20/11/2018,, , ,,
9460461,SONGA TOPAZ,11472,Oil Products Tanker,Small Tanker,2009,Brostrom,Marshall Islands (MHL),KR,8/4/2019,, , ,,
9359923,CARIBBEAN ALLIANCE,11487,Oil Products Tanker,Small Tanker,2006,UNKNOWN,Panama (PAN),BV,15/12/2016,, , ,,
9223916,CHEM HARVEST,11515,Chemical/Oil Products Tanker,Small Tanker,2000,UNKNOWN,Liberia (LBR),NV,2/10/2020,, , ,,
9236054,JISHUN,11515,Chemical/Oil Products Tanker,Small Tanker,2001,UNKNOWN,Marshall Islands (MHL),NV,24/5/2016,, , ,,
9658501,HUA SHUN 198,11517,Oil Products Tanker,Small Tanker,2012,Hubei Golden Sailing International,China Peoples's Republic (CHN),CCS,15/5/2017,, , ,,
9629251,MIN FENG YOU 1,11517,Oil Products Tanker,Small Tanker,2011,UNKNOWN,China Peoples's Republic (CHN),CCS,9/10/2016,, , ,,
9342786,AMIAS,11534,Chemical/Oil Products Tanker,Small Tanker,2007,UNKNOWN,Vietnam (VNM),KR,11/9/2020,, , ,,
9393008,AQUARIUS,11534,Chemical/Oil Products Tanker,Small Tanker,2008,UNKNOWN,Vietnam (VNM),NKK,26/1/2021,, , ,,
9330587,DS OCEAN,11534,Chemical/Oil Products Tanker,Small Tanker,2007,BAHRI,Korea (Republic of) (KOR),KR,26/10/2020,, , ,,
9294276,G BRIGHT,11534,Chemical/Oil Products Tanker,Small Tanker,2004,UNKNOWN,Korea (Republic of) (KOR),KR,20/6/2019,, , ,,
9400370,MT BASS,11534,Chemical/Oil Products Tanker,Small Tanker,2009,UNKNOWN,Vietnam (VNM),KR,13/2/2019,, , ,,
9271884,FURE NORD,11548,Chemical/Oil Products Tanker,Small Tanker,2004,Furetank,Sweden (SWE),BV,27/8/2019,, , ,,
9271896,RAMONA,11548,Chemical/Oil Products Tanker,Small Tanker,2004,Furetank,Sweden (SWE),BV,9/10/2019,, , ,,
9279111,ZHENG HE 5,11549,Chemical/Oil Products Tanker,Small Tanker,2003,UNKNOWN,"Hong Kong, China (HKG)",NKK,4/2/2018,, , ,,
9282924,MTM GIBRALTAR,11549,Chemical Tanker,Small Tanker,2003,MT Maritime,Singapore (SGP),NKK,16/9/2018,, , ,,
9436381,ASKHOLMEN,11551,Chemical/Oil Products Tanker,Small Tanker,2009,Norbulk Shipping UK Ltd.,Marshall Islands (MHL),ABS,31/1/2020,, , ,,
9268112,ARC 1,57664,Crude Oil Tanker,Aframax,2003,VANGUARD MARINE VENTURES,Panama (PAN),LRS,14/8/2018,YES,YES, ,YES,YES
9426946,PVT MERCURY,57672,Crude Oil Tanker,Aframax,2012,PV OIL,Vietnam (VNM),ABS,5/7/2017,, , ,,
9192258,ARES,57680,Crude Oil Tanker,Aframax,2000,PACIFIC OCEAN SHIPMANAGEMENT,Syrian Arab Republic (SYR),#N/A,#N/A,, , ,,
9436393,BRENTHOLMEN,11551,Chemical/Oil Products Tanker,Small Tanker,2010,Shell,Marshall Islands (MHL),ABS,30/3/2020,, , ,,
9435703,GULHOLMEN,11551,Chemical/Oil Products Tanker,Small Tanker,2009,Norbulk Shipping UK Ltd.,Marshall Islands (MHL),ABS,31/10/2019,, , ,,
9253325,NURKEZ,57680,Crude Oil Tanker,Aframax,2004,SHANGHAI FUTURE SHIP MANAGEMENT,Liberia (LBR),KR,15/5/2019,, , ,,
9436410,LARSHOLMEN,11551,Chemical/Oil Products Tanker,Small Tanker,2010,National Shipping SA,Marshall Islands (MHL),ABS,25/7/2020,, , ,,
